,averageDepartureDelay,MedianDelay,TotalFlights,Origin
0,8.815516969138223,-1.0,392654,ATL
1,14.68775798853924,-2.0,329472,ORD
2,13.077739563367613,-2.0,296863,DFW
3,13.582163097345848,-1.0,247386,DEN
4,10.720337668381726,-2.0,232062,CLT
5,10.216574672111149,-1.0,217223,LAX
6,12.571714743589743,-2.0,177216,IAH
7,9.78508275160649,-1.0,173048,PHX
8,13.584384000382423,-2.0,167354,SFO
9,14.986604870629517,-2.0,167001,LGA
10,10.437838438597899,-1.0,161957,LAS
11,10.266711622273005,-2.0,160158,DTW
12,9.492252659324109,-2.0,159345,MSP
13,14.08374951718156,-2.0,147571,BOS
14,8.14575132969343,-2.0,141762,SEA
15,13.74661485344056,-2.0,140762,MCO
16,10.699647551215214,-3.0,136190,DCA
17,18.364035352316602,-2.0,132608,EWR
18,12.653818826290705,-3.0,125261,JFK
19,10.369153241330926,-3.0,116881,PHL
20,7.424275460277867,-2.0,114659,SLC
21,11.03127723538225,0.0,102119,BWI
22,13.93128388736278,-1.0,97197,FLL
23,8.091304489653897,-2.0,91967,SAN
24,10.685642106217147,-2.0,88272,MIA
25,11.089025260102812,-1.0,81314,BNA
26,13.61881520119225,2.0,80520,MDW
27,10.660028054202837,-2.0,75568,TPA
28,11.70725171663038,1.0,71652,DAL
29,11.786516524871505,-3.0,68291,IAD
30,11.826426767488082,0.0,66917,STL
31,10.388851802403204,-2.0,65912,AUS
32,12.25635989228576,-2.0,63130,RDU
33,4.859845186260281,-3.0,62010,PDX
34,5.898852769372664,-2.0,61801,SJC
35,12.631074594742326,1.0,58543,HOU
36,10.902175055164443,-1.0,57102,MSY
37,8.30806954971021,-2.0,53832,MCI
38,9.277514076522474,0.0,52037,OAK
39,3.497895647160565,-3.0,52035,HNL
40,6.417889573935825,-2.0,50767,SMF
41,8.525840836597085,-4.0,49534,PIT
42,10.333779443254818,-3.0,48568,CLE
43,9.277128409185112,-3.0,48252,IND
44,11.332497999410352,-3.0,47486,CVG
45,8.538950411290838,-3.0,47047,CMH
46,7.023512761942596,-2.0,40276,SNA
47,8.284216555433808,-3.0,40156,SAT
48,10.69186080629071,-3.0,34082,RSW
49,9.254141825698794,-3.0,33379,JAX
50,8.496966747769667,-2.0,30825,BUR
51,8.95877140778946,-2.0,30246,MKE
52,8.570166098807496,-3.0,28176,BDL
53,4.244435466098582,-3.0,27226,OGG
54,13.905146810030452,-2.0,26599,SJU
55,13.702952173235706,-3.0,25676,PBI
56,9.07190517309051,-3.0,25478,OMA
57,9.795380971180418,-3.0,25330,MEM
58,9.310311979042629,-4.0,25194,CHS
59,10.267194356723946,-3.0,24383,RIC
60,10.242028746076326,-3.0,24212,BUF
61,11.611159510475005,-4.0,24105,ORF
62,9.761666040021725,-3.0,23937,SDF
63,9.985253728820721,-3.0,23667,OKC
64,9.516251655063426,-2.0,23413,ABQ
65,7.634335727109515,-2.0,22280,ONT
66,7.783274201723264,-3.0,19730,RNO
67,10.981857270200829,-3.0,19071,BHM
68,7.91502993383048,-3.0,19042,TUS
69,5.927730560101357,-3.0,18943,BOI
70,0.583249403657567,-6.0,18865,ANC
71,10.819270026185006,-3.0,18713,GRR
72,9.684474217518577,-5.0,17764,TYS
73,10.365822072072072,-3.0,17760,PVD
74,11.863470768519054,-3.0,17293,SAV
75,8.619569098916795,-2.0,16802,ELP
76,8.382650631102644,-3.0,16796,TUL
77,8.447670574090772,-4.0,16635,DSM
78,5.790430196352545,-3.0,15737,LGB
79,11.672074823439587,-3.0,15717,GSP
